output_class,meta_feature,coef,abs_coef
Slight,lr.P(Slight),0.43906003187041354,0.43906003187041354
Slight,lr.P(Serious),-0.46254061750302466,0.46254061750302466
Slight,lr.P(Fatal),0.025599253670057803,0.025599253670057803
Slight,xgb.P(Slight),1.3350811833139202,1.3350811833139202
Slight,xgb.P(Serious),1.3007768174889358,1.3007768174889358
Slight,xgb.P(Fatal),-2.6337375984341813,2.6337375984341813
Slight,et.P(Slight),2.656667316512222,2.656667316512222
Slight,et.P(Serious),-1.193248899328625,1.193248899328625
Slight,et.P(Fatal),-1.4612995729122007,1.4612995729122007
Serious,lr.P(Slight),0.40366653280105086,0.40366653280105086
Serious,lr.P(Serious),-0.3708879734868625,0.3708879734868625
Serious,lr.P(Fatal),-0.02820981469261796,0.02820981469261796
Serious,xgb.P(Slight),-0.8281178382363741,0.8281178382363741
Serious,xgb.P(Serious),4.177000586818948,4.177000586818948
Serious,xgb.P(Fatal),-3.344316158819496,3.344316158819496
Serious,et.P(Slight),-1.3317591627511363,1.3317591627511363
Serious,et.P(Serious),1.814970080785751,1.814970080785751
Serious,et.P(Fatal),-0.4786430266596576,0.4786430266596576
Fatal,lr.P(Slight),-0.8427265646714204,0.8427265646714204
Fatal,lr.P(Serious),0.8334285909899046,0.8334285909899046
Fatal,lr.P(Fatal),0.002610561022556334,0.002610561022556334
Fatal,xgb.P(Slight),-0.5069633450775677,0.5069633450775677
Fatal,xgb.P(Serious),-5.477777404307449,5.477777404307449
Fatal,xgb.P(Fatal),5.978053757253468,5.978053757253468
Fatal,et.P(Slight),-1.3249081537612204,1.3249081537612204
Fatal,et.P(Serious),-0.6217211814571443,0.6217211814571443
Fatal,et.P(Fatal),1.9399425995720656,1.9399425995720656
